Date,Time,Output_Volumn,RPM,Current,Temp.Motor,Date_Change_Grinding,Count_Grinding,Output/Current,chang_Grinding,chang_Grinding_I
17/02/2023 00:00,23:40:24,438.9693604,209.2982864,339.5095673,78,27/01/2023 08:02,1,1.292951371,0,0
18/02/2023 00:00,23:40:24,437.1520081,208.9701385,259.0537888,74.5,27/01/2023 08:02,2,1.687495134,0,0
19/02/2023 00:00,23:40:24,459.638092,209.0184084,292.6589414,71,27/01/2023 08:02,3,1.570558855,0,0
20/02/2023 00:00,23:40:24,386.0985107,207.7748464,217.5566869,69.3333333,27/01/2023 08:02,4,1.774703027,0,0
21/02/2023 00:00,23:40:24,503.9050293,208.1755053,303.6020673,65,27/01/2023 08:02,5,1.659754934,0,0
22/02/2023 00:00,23:40:24,390.9058533,208.597051,311.4964256,63,27/01/2023 08:02,6,1.254928857,0,0
23/02/2023 00:00,23:40:24,408.8199158,208.4633751,259.7161855,61.75,27/01/2023 08:02,7,1.574102573,0,0
24/02/2023 00:00,23:40:24,487.1796875,207.7244771,268.0706304,65.8333333,27/01/2023 08:02,8,1.817355698,0,0
25/02/2023 00:00,23:40:24,450.0961914,208.7304649,326.4337514,70,27/01/2023 08:02,9,1.378828597,0,0
26/02/2023 00:00,23:40:24,397.6807556,208.1763217,281.6721447,70,27/01/2023 08:02,10,1.411856881,0,0
27/02/2023 00:00,23:40:24,361.4358521,208.8122559,288.6623155,73,27/01/2023 08:02,11,1.252106121,1,0
28/02/2023 00:00,23:40:24,432.7920227,196.9112927,227.1524723,72.5,28/02/2023 17:17,1,1.905293032,0,0
01/03/2023 00:00,23:40:24,419.5564575,210.1883685,216.5535386,69,28/02/2023 17:17,2,1.937426007,0,0
02/03/2023 00:00,23:40:24,343.6370239,209.1388652,301.4084814,66.0833333,28/02/2023 17:17,3,1.140104029,0,0
03/03/2023 00:00,23:40:24,477.2210999,207.577287,316.9758148,65.5,28/02/2023 17:17,4,1.505544201,0,0
04/03/2023 00:00,23:40:24,448.3340149,209.3320033,280.315268,69,28/02/2023 17:17,5,1.599392063,0,0
05/03/2023 00:00,23:40:24,491.0374451,207.7344144,290.8346939,69,28/02/2023 17:17,6,1.688373002,0,0
06/03/2023 00:00,23:40:24,230.4122772,209.4578234,165.3981225,69,28/02/2023 17:17,7,1.393076739,0,0
07/03/2023 00:00,23:40:24,302.9545288,209.2493998,233.4096413,66,28/02/2023 17:17,8,1.297952077,0,0
08/03/2023 00:00,23:40:24,408.0541687,208.7538923,241.7053268,63,28/02/2023 17:17,9,1.688229937,0,0
09/03/2023 00:00,23:40:24,488.2962036,208.3785121,300.9870745,63,28/02/2023 17:17,11,1.622316189,0,0
10/03/2023 00:00,23:40:24,451.4396057,209.0638059,214.1098425,68,28/02/2023 17:17,12,2.108448638,0,0
11/03/2023 00:00,23:40:24,409.9146118,209.5053622,224.934127,73,28/02/2023 17:17,13,1.822376254,0,0
12/03/2023 00:00,23:40:24,236.352005,209.9891332,260.8490916,73,28/02/2023 17:17,14,0.906087131,0,1
13/03/2023 00:00,23:40:24,242.2867279,209.09537,342.1936887,77.5,28/02/2023 17:17,15,0.708039733,0,1
14/03/2023 00:00,23:40:24,444.6664734,208.551796,309.4928017,78.5,28/02/2023 17:17,16,1.436758693,0,0
15/03/2023 00:00,23:40:24,509.2060852,208.4929021,296.2792269,74,28/02/2023 17:17,17,1.718669549,0,0
16/03/2023 00:00,23:40:24,379.3291016,197.3186677,256.5170289,75,28/02/2023 17:17,18,1.478767719,0,0
17/03/2023 00:00,23:40:24,477.9284363,208.6767082,251.6934022,73,28/02/2023 17:17,19,1.898851667,0,0
18/03/2023 00:00,23:40:24,485.4911194,208.5149117,255.8625457,67,28/02/2023 17:17,20,1.897468495,0,0
19/03/2023 00:00,23:40:24,149.7279968,195.4239028,128.8921263,71,28/02/2023 17:17,21,1.161653556,0,0
20/03/2023 00:00,23:40:24,389.8962097,210.2377141,200.9180336,78,28/02/2023 17:17,22,1.94057349,0,0
21/03/2023 00:00,23:40:24,515.4307251,208.7341067,293.3599826,76,28/02/2023 17:17,23,1.756990577,0,0
22/03/2023 00:00,23:40:24,500.3672791,209.2861595,264.2625016,73,28/02/2023 17:17,24,1.893447902,0,0
23/03/2023 00:00,23:40:24,478.6948547,208.2997132,287.1608742,73,28/02/2023 17:17,25,1.666991912,0,0
24/03/2023 00:00,23:40:24,581.8403931,208.9057897,264.1617351,73,28/02/2023 17:17,26,2.202591503,0,0
25/03/2023 00:00,23:40:24,451.1390076,209.3184547,262.0948447,74.5,28/02/2023 17:17,27,1.721281501,0,0
26/03/2023 00:00,23:40:24,475.834259,209.0745634,274.5045417,76,28/02/2023 17:17,28,1.733429458,0,0
27/03/2023 00:00,23:40:24,506.3456421,208.8615824,220.6919939,69,28/02/2023 17:17,29,2.294354377,0,0
28/03/2023 00:00,23:40:24,461.235199,208.921037,266.9379891,65,28/02/2023 17:17,30,1.727873955,0,0
29/03/2023 00:00,23:40:24,424.1687927,208.7090785,215.790679,68,28/02/2023 17:17,31,1.96564928,0,0
30/03/2023 00:00,23:40:24,483.6108704,209.4860827,304.842815,67.5,28/02/2023 17:17,32,1.586426993,0,0
31/03/2023 00:00,23:40:24,531.9978027,208.5948664,330.4792727,67,28/02/2023 17:17,33,1.609776608,0,0
01/04/2023 00:00,23:40:24,456.4482117,209.8517431,189.7991262,67,28/02/2023 17:17,34,2.404901544,1,0
02/04/2023 00:00,23:40:24,516.4235229,209.4355303,308.0237149,67,02/04/2023 00:59,1,1.67657066,0,0
03/04/2023 00:00,23:40:24,423.9114685,203.6324577,228.7580907,68,02/04/2023 00:59,2,1.853099347,0,0
04/04/2023 00:00,23:40:24,549.9846191,210.7201538,257.8146479,69.5,02/04/2023 00:59,3,2.133255901,0,0
05/04/2023 00:00,23:40:24,463.190033,208.5167465,294.3626943,67,02/04/2023 00:59,4,1.573535105,0,0
06/04/2023 00:00,23:40:24,205.8240051,210.4157664,159.9419793,65,02/04/2023 00:59,5,1.286866688,0,0
07/04/2023 00:00,23:40:24,477.348114,209.2598267,296.8119206,70.3333333,02/04/2023 00:59,6,1.608251155,0,0
08/04/2023 00:00,23:40:24,493.1524658,208.9915034,271.0612149,74.5,02/04/2023 00:59,7,1.819339834,0,0
09/04/2023 00:00,23:40:24,464.4211731,209.1273117,218.9547198,70,02/04/2023 00:59,8,2.121083179,0,0
10/04/2023 00:00,23:40:24,467.863678,209.7239176,230.6971234,70,02/04/2023 00:59,9,2.028042964,0,0
11/04/2023 00:00,23:40:24,424.0934448,210.1750539,199.2126427,68,02/04/2023 00:59,10,2.128848044,0,0
12/04/2023 00:00,23:40:24,463.2467346,209.2722003,245.4612834,65.5833333,02/04/2023 00:59,11,1.887249705,0,0
13/04/2023 00:00,23:40:24,177.0559998,210.7005577,87.77627691,65,02/04/2023 00:59,12,2.017128158,0,0
14/04/2023 00:00,23:40:24,211.4482117,102.9901831,35.38785231,65,02/04/2023 00:59,13,5.975163733,0,0
15/04/2023 00:00,23:40:24,272.9512024,199.3156268,194.3841938,74.5,02/04/2023 00:59,14,1.404184142,0,0
16/04/2023 00:00,23:40:24,477.0564575,209.6656889,190.8454785,84,02/04/2023 00:59,15,2.499700078,0,0
17/04/2023 00:00,23:40:24,422.326416,208.843998,283.1688096,81.5,02/04/2023 00:59,16,1.491429853,0,0
18/04/2023 00:00,23:40:24,531.0484009,208.7207247,294.5785032,80.5,02/04/2023 00:59,17,1.80273983,0,0
19/04/2023 00:00,23:40:24,492.9098511,210.048729,209.1292701,78.5,02/04/2023 00:59,18,2.356962518,0,0
20/04/2023 00:00,23:40:24,560.9659424,208.6764603,256.6149384,79,02/04/2023 00:59,19,2.186022162,0,0
21/04/2023 00:00,23:40:24,425.4537659,209.8825798,302.9237197,84.6666667,02/04/2023 00:59,20,1.404491422,0,0
22/04/2023 00:00,23:40:24,562.1208496,208.5397135,301.7587344,82.5,02/04/2023 00:59,21,1.862815506,0,0
23/04/2023 00:00,23:40:24,496.2437744,209.3460604,264.1785942,78,02/04/2023 00:59,22,1.878440514,0,0
24/04/2023 00:00,23:40:24,483.8786926,208.7703476,328.2087771,78,02/04/2023 00:59,23,1.474301501,0,0
25/04/2023 00:00,23:40:24,395.1108398,209.709741,271.7445428,80,02/04/2023 00:59,24,1.453978931,0,0
26/04/2023 00:00,23:40:24,482.6508484,209.1062978,280.9936167,77.5,02/04/2023 00:59,25,1.717657697,0,0
27/04/2023 00:00,23:40:24,494.7741699,210.9592158,250.4713205,77,02/04/2023 00:59,26,1.975372545,0,0
28/04/2023 00:00,23:40:24,509.305603,208.4393412,331.709572,81.5,02/04/2023 00:59,27,1.53539616,0,0
29/04/2023 00:00,23:40:24,448.0056458,210.8695806,324.824477,78.5,02/04/2023 00:59,28,1.379223789,0,0
30/04/2023 00:00,23:40:24,405.1281738,209.974467,261.3012548,75,02/04/2023 00:59,29,1.550425673,0,0
01/05/2023 00:00,23:40:24,68.47918701,210.0276095,169.6414418,75,02/04/2023 00:59,30,0.403670154,0,1
02/05/2023 00:00,23:40:24,452.5829163,208.8304698,298.4523575,75,02/04/2023 00:59,31,1.516432707,0,0
03/05/2023 00:00,23:40:24,417.5935974,209.3543765,227.853981,75,02/04/2023 00:59,32,1.832724605,0,0
04/05/2023 00:00,23:40:24,494.2262573,209.7943306,166.012868,72.0833333,02/04/2023 00:59,33,2.977035836,0,0
05/05/2023 00:00,23:40:24,425.785675,208.5428391,284.4065717,67,02/04/2023 00:59,34,1.497102097,0,0
06/05/2023 00:00,23:40:24,460.8663635,208.2826716,297.7993304,66,02/04/2023 00:59,35,1.547573538,0,0
