Date,Time,Output_Volumn,RPM,Current,Temp.Motor,Date_Change_Grinding,Count_Grinding,Output/Current,chang_Grinding,chang_Grinding_I
2023-02-17 00:00:00,23:40:24,438.9693604,209.29829,339.5095673,78,2023-01-27 8:02:20,1,1.292951371,0,0
2023-02-18 00:00:00,23:40:24,437.1520081,259.05379,259.0537888,74.5,2023-01-27 8:02:20,2,1.687495134,0,0
2023-02-19 00:00:00,23:40:24,459.638092,292.65894,292.6589414,71,2023-01-27 8:02:20,3,1.570558855,0,0
2023-02-20 00:00:00,23:40:24,386.0985107,217.55669,217.5566869,69.3333333,2023-01-27 8:02:20,4,1.774703027,0,0
2023-02-21 00:00:00,23:40:24,503.9050293,303.60207,303.6020673,65,2023-01-27 8:02:20,5,1.659754934,0,0
2023-02-22 00:00:00,23:40:24,390.9058533,311.49643,311.4964256,63,2023-01-27 8:02:20,6,1.254928857,0,0
2023-02-23 00:00:00,23:40:24,408.8199158,259.71619,259.7161855,61.75,2023-01-27 8:02:20,7,1.574102573,0,0
2023-02-24 00:00:00,23:40:24,487.1796875,268.07063,268.0706304,65.8333333,2023-01-27 8:02:20,8,1.817355698,0,0
2023-02-25 00:00:00,23:40:24,450.0961914,326.43375,326.4337514,70,2023-01-27 8:02:20,9,1.378828597,0,0
2023-02-26 00:00:00,23:40:24,397.6807556,281.67214,281.6721447,70,2023-01-27 8:02:20,10,1.411856881,0,0
2023-02-27 00:00:00,23:40:24,361.4358521,288.66232,288.6623154,73,2023-01-27 8:02:20,11,1.252106121,1,0
2023-02-28 00:00:00,23:40:24,432.7920227,227.15247,227.1524723,72.5,2023-02-28 17:17:56,1,1.905293032,0,0
2023-03-01 00:00:00,23:40:24,419.5564575,216.55354,216.5535386,69,2023-02-28 17:17:56,2,1.937426006,0,0
2023-03-02 00:00:00,23:40:24,343.6370239,301.40848,301.4084814,66.0833333,2023-02-28 17:17:56,3,1.140104029,0,0
2023-03-03 00:00:00,23:40:24,477.2210999,316.97581,316.9758148,65.5,2023-02-28 17:17:56,4,1.505544201,0,0
2023-03-04 00:00:00,23:40:24,448.3340149,280.31527,280.315268,69,2023-02-28 17:17:56,5,1.599392063,0,0
2023-03-05 00:00:00,23:40:24,491.0374451,290.83469,290.8346939,69,2023-02-28 17:17:56,6,1.688373001,0,0
2023-03-06 00:00:00,23:40:24,230.4122772,165.39812,165.3981225,69,2023-02-28 17:17:56,7,1.393076739,0,0
2023-03-07 00:00:00,23:40:24,302.9545288,233.40964,233.4096413,66,2023-02-28 17:17:56,8,1.297952078,0,0
2023-03-08 00:00:00,23:40:24,408.0541687,241.70533,241.7053268,63,2023-02-28 17:17:56,9,1.688229937,0,0
2023-03-09 00:00:00,23:40:24,488.2962036,300.98707,300.9870745,63,2023-02-28 17:17:56,11,1.622316189,0,0
2023-03-10 00:00:00,23:40:24,451.4396057,214.10984,214.1098425,68,2023-02-28 17:17:56,12,2.108448638,0,0
2023-03-11 00:00:00,23:40:24,409.9146118,224.93413,224.934127,73,2023-02-28 17:17:56,13,1.822376254,0,0
2023-03-12 00:00:00,23:40:24,236.352005,260.84909,260.8490916,73,2023-02-28 17:17:56,14,0.906087131,0,1
2023-03-13 00:00:00,23:40:24,242.2867279,342.19369,342.1936887,77.5,2023-02-28 17:17:56,15,0.708039733,0,1
2023-03-14 00:00:00,23:40:24,444.6664734,309.4928,309.4928017,78.5,2023-02-28 17:17:56,16,1.436758694,0,0
2023-03-15 00:00:00,23:40:24,509.2060852,296.27923,296.2792269,74,2023-02-28 17:17:56,17,1.718669549,0,0
2023-03-16 00:00:00,23:40:24,379.3291016,256.51703,256.5170289,75,2023-02-28 17:17:56,18,1.478767718,0,0
2023-03-17 00:00:00,23:40:24,477.9284363,251.6934,251.6934022,73,2023-02-28 17:17:56,19,1.898851667,0,0
2023-03-18 00:00:00,23:40:24,485.4911194,255.86255,255.8625457,67,2023-02-28 17:17:56,20,1.897468494,0,0
2023-03-19 00:00:00,23:40:24,149.7279968,128.89213,128.8921263,71,2023-02-28 17:17:56,21,1.161653556,0,0
2023-03-20 00:00:00,23:40:24,389.8962097,200.91803,200.9180336,78,2023-02-28 17:17:56,22,1.94057349,0,0
2023-03-21 00:00:00,23:40:24,515.4307251,293.35998,293.3599826,76,2023-02-28 17:17:56,23,1.756990577,0,0
2023-03-22 00:00:00,23:40:24,500.3672791,264.2625,264.2625016,73,2023-02-28 17:17:56,24,1.893447901,0,0
2023-03-23 00:00:00,23:40:24,478.6948547,287.16087,287.1608742,73,2023-02-28 17:17:56,25,1.666991912,0,0
2023-03-24 00:00:00,23:40:24,581.8403931,264.16174,264.1617351,73,2023-02-28 17:17:56,26,2.202591503,0,0
2023-03-25 00:00:00,23:40:24,451.1390076,262.09484,262.0948447,74.5,2023-02-28 17:17:56,27,1.721281501,0,0
2023-03-26 00:00:00,23:40:24,475.834259,274.50454,274.5045417,76,2023-02-28 17:17:56,28,1.733429458,0,0
2023-03-27 00:00:00,23:40:24,506.3456421,220.69199,220.6919939,69,2023-02-28 17:17:56,29,2.294354377,0,0
2023-03-28 00:00:00,23:40:24,461.235199,266.93799,266.9379892,65,2023-02-28 17:17:56,30,1.727873955,0,0
2023-03-29 00:00:00,23:40:24,424.1687927,215.79068,215.790679,68,2023-02-28 17:17:56,31,1.96564928,0,0
2023-03-30 00:00:00,23:40:24,483.6108704,304.84282,304.842815,67.5,2023-02-28 17:17:56,32,1.586426993,0,0
2023-03-31 00:00:00,23:40:24,531.9978027,330.47927,330.4792727,67,2023-02-28 17:17:56,33,1.609776608,0,0
2023-04-01 00:00:00,23:40:24,456.4482117,189.79913,189.7991261,67,2023-02-28 17:17:56,34,2.404901545,1,0
2023-04-02 00:00:00,23:40:24,516.4235229,308.02371,308.0237149,67,2023-04-02 0:59:03,1,1.67657066,0,0
2023-04-03 00:00:00,23:40:24,423.9114685,228.75809,228.7580907,68,2023-04-02 0:59:03,2,1.853099347,0,0
2023-04-04 00:00:00,23:40:24,549.9846191,257.81465,257.8146479,69.5,2023-04-02 0:59:03,3,2.133255901,0,0
2023-04-05 00:00:00,23:40:24,463.190033,294.36269,294.3626943,67,2023-04-02 0:59:03,4,1.573535105,0,0
2023-04-06 00:00:00,23:40:24,205.8240051,159.94198,159.9419792,65,2023-04-02 0:59:03,5,1.286866688,0,0
2023-04-07 00:00:00,23:40:24,477.348114,296.81192,296.8119206,70.3333333,2023-04-02 0:59:03,6,1.608251154,0,0
2023-04-08 00:00:00,23:40:24,493.1524658,271.06121,271.0612149,74.5,2023-04-02 0:59:03,7,1.819339834,0,0
2023-04-09 00:00:00,23:40:24,464.4211731,218.95472,218.9547198,70,2023-04-02 0:59:03,8,2.121083179,0,0
2023-04-10 00:00:00,23:40:24,467.863678,230.69712,230.6971234,70,2023-04-02 0:59:03,9,2.028042964,0,0
2023-04-11 00:00:00,23:40:24,424.0934448,199.21264,199.2126427,68,2023-04-02 0:59:03,10,2.128848044,0,0
2023-04-12 00:00:00,23:40:24,463.2467346,245.46128,245.4612834,65.5833333,2023-04-02 0:59:03,11,1.887249704,0,0
2023-04-13 00:00:00,23:40:24,177.0559998,87.776277,87.77627691,65,2023-04-02 0:59:03,12,2.017128158,0,0
2023-04-14 00:00:00,23:40:24,211.4482117,35.387852,35.38785231,65,2023-04-02 0:59:03,13,5.975163732,0,0
2023-04-15 00:00:00,23:40:24,272.9512024,194.38419,194.3841938,74.5,2023-04-02 0:59:03,14,1.404184142,0,0
2023-04-16 00:00:00,23:40:24,477.0564575,190.84548,190.8454785,84,2023-04-02 0:59:03,15,2.499700078,0,0
2023-04-17 00:00:00,23:40:24,422.326416,283.16881,283.1688096,81.5,2023-04-02 0:59:03,16,1.491429853,0,0
2023-04-18 00:00:00,23:40:24,531.0484009,294.5785,294.5785032,80.5,2023-04-02 0:59:03,17,1.80273983,0,0
2023-04-19 00:00:00,23:40:24,492.9098511,209.12927,209.1292702,78.5,2023-04-02 0:59:03,18,2.356962518,0,0
2023-04-20 00:00:00,23:40:24,560.9659424,256.61494,256.6149384,79,2023-04-02 0:59:03,19,2.186022162,0,0
2023-04-21 00:00:00,23:40:24,425.4537659,302.92372,302.9237197,84.6666667,2023-04-02 0:59:03,20,1.404491422,0,0
2023-04-22 00:00:00,23:40:24,562.1208496,301.75873,301.7587344,82.5,2023-04-02 0:59:03,21,1.862815506,0,0
2023-04-23 00:00:00,23:40:24,496.2437744,264.17859,264.1785942,78,2023-04-02 0:59:03,22,1.878440515,0,0
2023-04-24 00:00:00,23:40:24,483.8786926,328.20878,328.2087771,78,2023-04-02 0:59:03,23,1.474301501,0,0
2023-04-25 00:00:00,23:40:24,395.1108398,271.74454,271.7445428,80,2023-04-02 0:59:03,24,1.453978931,0,0
2023-04-26 00:00:00,23:40:24,482.6508484,280.99362,280.9936167,77.5,2023-04-02 0:59:03,25,1.717657697,0,0
2023-04-27 00:00:00,23:40:24,494.7741699,250.47132,250.4713205,77,2023-04-02 0:59:03,26,1.975372546,0,0
2023-04-28 00:00:00,23:40:24,509.305603,331.70957,331.709572,81.5,2023-04-02 0:59:03,27,1.53539616,0,0
2023-04-29 00:00:00,23:40:24,448.0056458,324.82448,324.824477,78.5,2023-04-02 0:59:03,28,1.379223789,0,0
2023-04-30 00:00:00,23:40:24,405.1281738,261.30125,261.3012548,75,2023-04-02 0:59:03,29,1.550425673,0,0
2023-05-01 00:00:00,23:40:24,68.47918701,169.64144,169.6414417,75,2023-04-02 0:59:03,30,0.403670155,0,1
2023-05-02 00:00:00,23:40:24,452.5829163,298.45236,298.4523575,75,2023-04-02 0:59:03,31,1.516432707,0,0
2023-05-03 00:00:00,23:40:24,417.5935974,227.85398,227.853981,75,2023-04-02 0:59:03,32,1.832724605,0,0
2023-05-04 00:00:00,23:40:24,494.2262573,166.01287,166.012868,72.0833333,2023-04-02 0:59:03,33,2.977035836,0,0
2023-05-05 00:00:00,23:40:24,425.785675,284.40657,284.4065717,67,2023-04-02 0:59:03,34,1.497102098,0,0
2023-05-06 00:00:00,23:40:24,460.8663635,297.79933,297.7993304,66,2023-04-02 0:59:03,35,1.547573539,0,0
2023-05-07 00:00:00,23:40:24,410.9243469,266.56269,266.5626882,66,2023-04-02 0:59:03,36,1.541567388,1,0
2023-05-08 00:00:00,23:40:24,347.5273132,232.25804,232.2580398,68,2023-05-08 5:59:00,1,1.496298313,0,0
2023-05-09 00:00:00,23:40:24,370.7894897,235.42664,235.4266383,66,2023-05-08 5:59:00,2,1.574968289,0,0
2023-05-10 00:00:00,23:40:24,364.9284363,211.44821,211.4482117,60,2023-05-08 5:59:00,3,1.725852555,0,0
2023-05-11 00:00:00,23:40:24,417.4868469,211.44821,211.4482117,57,2023-05-08 5:59:00,4,1.974416542,0,0
2023-05-12 00:00:00,23:40:24,369.3729553,211.44821,211.4482117,57.5,2023-05-08 5:59:00,4,1.746871976,0,0
2023-05-13 00:00:00,23:40:24,375.6045837,211.44821,211.4482117,63.5,2023-05-08 5:59:00,6,1.776343156,0,0
2023-05-14 00:00:00,23:40:24,105.5680008,211.44821,211.4482117,68,2023-05-08 5:59:00,7,0.499261734,0,1
2023-05-15 00:00:00,23:40:24,301.6365356,211.44821,211.4482117,68,2023-05-08 5:59:00,8,1.426526776,0,0
2023-05-16 00:00:00,23:40:24,379.2518616,211.44821,211.4482117,66.5,2023-05-08 5:59:00,9,1.793592193,0,0
2023-05-17 00:00:00,23:40:24,323.7496338,185.23392,185.2339197,64.5833333,2023-05-08 5:59:00,10,1.747788063,0,0
2023-05-18 00:00:00,23:40:24,426.486969,277.77231,277.7723083,65,2023-05-08 5:59:00,11,1.53538332,0,0
2023-05-19 00:00:00,23:40:24,392.1560059,228.98526,228.9852605,66,2023-05-08 5:59:00,12,1.712581871,0,0
2023-05-20 00:00:00,23:40:24,283.4533386,144.2232,144.2232027,61.6666667,2023-05-08 5:59:00,13,1.965379587,0,0
2023-05-21 00:00:00,23:40:24,124.0960007,55.435217,55.4352173,53,2023-05-08 5:59:00,14,2.238576968,0,0
2023-05-22 00:00:00,23:40:24,222.4320068,196.93182,196.9318169,54.5,2023-05-08 5:59:00,15,1.129487405,0,0
2023-05-23 00:00:00,23:40:24,406.2964172,228.70173,228.7017301,58,2023-05-08 5:59:00,16,1.776534078,0,0
2023-05-24 00:00:00,23:40:24,356.5139771,271.0419,271.0418994,60,2023-05-08 5:59:00,17,1.315346365,0,0
2023-05-25 00:00:00,23:40:24,408.1098633,268.98871,268.988711,61.5,2023-05-08 5:59:00,18,1.51720071,0,0
2023-05-26 00:00:00,23:40:24,414.506012,192.79116,192.7911619,66.5,2023-05-08 5:59:00,19,2.150026006,0,0
2023-05-27 00:00:00,23:40:24,380.9054871,260.14982,260.1498196,73,2023-05-08 5:59:00,20,1.464177402,0,0
2023-05-28 00:00:00,23:40:24,141.2480011,95.139395,95.13939508,79,2023-05-08 5:59:00,21,1.484642623,0,0
2023-05-29 00:00:00,23:40:24,248.1099396,136.73195,136.7319463,67.5,2023-05-08 5:59:00,22,1.814571841,0,0
2023-05-30 00:00:00,23:40:24,351.1889038,252.9676,252.9675992,60.5833333,2023-05-08 5:59:00,23,1.388276225,0,0
2023-05-31 00:00:00,23:40:24,346.3387756,209.4558,209.4557958,67,2023-05-08 5:59:00,24,1.65351727,0,0
2023-06-01 00:00:00,23:40:24,424.8041992,244.29418,244.2941835,67,2023-05-08 5:59:00,25,1.738904272,0,0
2023-06-02 00:00:00,23:40:24,340.9920044,234.61635,234.616346,72,2023-05-08 5:59:00,26,1.453402588,0,0
2023-06-03 00:00:00,23:40:24,177.239212,97.059031,97.05903053,77,2023-05-08 5:59:00,27,1.826097078,0,0
2023-06-04 00:00:00,23:40:24,396.8474731,244.63547,244.6354671,77,2023-05-08 5:59:00,28,1.622199258,0,0
2023-06-05 00:00:00,23:40:24,400.9429016,204.32926,204.3292642,73.5,2023-05-08 5:59:00,29,1.962239247,0,0
2023-06-06 00:00:00,23:40:24,352.5793152,201.46689,201.4668906,72.3333333,2023-05-08 5:59:00,30,1.750060837,0,0
2023-06-07 00:00:00,23:40:24,373.0465698,205.50876,205.5087627,71.5833333,2023-05-08 5:59:00,31,1.815234372,0,0
2023-06-08 00:00:00,23:40:24,396.8647766,205.49998,205.4999828,64,2023-06-08 21:40:48,32,1.931215619,0,0
2023-06-09 00:00:00,23:40:24,347.7478027,246.656,246.6559981,64,2023-06-08 21:40:48,33,1.409849367,0,0
2023-06-10 00:00:00,23:40:24,351.3849487,261.72423,261.7242266,65.5,2023-06-08 21:40:48,34,1.342577083,0,0
2023-06-11 00:00:00,23:40:24,278.1498718,241.4518,241.4518033,67,2023-06-08 21:40:48,35,1.151989209,0,0
2023-06-12 00:00:00,23:40:24,398.7108765,260.29993,260.2999281,67.5,2023-06-08 21:40:48,36,1.531736406,0,0
2023-06-13 00:00:00,23:40:24,364.8519897,214.27686,214.2768605,72.5,2023-06-08 21:40:48,37,1.702712971,0,0
2023-06-14 00:00:00,23:40:24,389.7432251,217.85641,217.8564141,75,2023-06-08 21:40:48,38,1.78899128,0,0
2023-06-15 00:00:00,23:40:24,402.5514221,292.75685,292.7568488,70,2023-06-08 21:40:48,39,1.375036737,0,0
2023-06-16 00:00:00,23:40:24,359.7040405,220.53466,220.534657,72.5,2023-06-08 21:40:48,40,1.631054481,0,0
2023-06-17 00:00:00,23:40:24,405.0023499,224.79837,224.7983734,74,2023-06-08 21:40:48,41,1.801624913,0,0
2023-06-18 00:00:00,23:40:24,100.8301392,88.391504,88.39150437,70,2023-06-08 21:40:48,42,1.140722062,0,0
2023-06-19 00:00:00,23:40:24,394.9440002,270.7522,270.7522022,74,2023-06-08 21:40:48,43,1.458691737,0,0
2023-06-20 00:00:00,23:40:24,398.7279663,276.94674,276.9467405,78,2023-06-08 21:40:48,44,1.439727962,0,0
2023-06-21 00:00:00,23:40:24,400.7868958,272.502,272.5020034,78,2023-06-08 21:40:48,45,1.470766786,0,0
2023-06-22 00:00:00,23:40:24,370.3283997,263.64599,263.6459862,78,2023-06-08 21:40:48,46,1.404642661,0,0
2023-06-23 00:00:00,23:40:24,394.5092468,241.09047,241.0904666,75,2023-06-08 21:40:48,47,1.636353575,0,0
2023-06-24 00:00:00,23:40:24,344.480011,226.45749,226.4574945,69.9166667,2023-06-08 21:40:48,48,1.521168517,0,0
2023-06-25 00:00:00,23:40:24,121.0559998,103.17809,103.1780872,67,2023-06-08 21:40:48,49,1.173272379,0,0
2023-06-26 00:00:00,23:40:24,266.3058472,221.18835,221.1883491,72,2023-06-08 21:40:48,50,1.203977733,0,0
2023-06-27 00:00:00,23:40:24,395.5088196,278.11296,278.112963,78,2023-06-08 21:40:48,51,1.42211573,0,0
2023-06-28 00:00:00,23:40:24,405.4712524,266.42326,266.4232608,77.6666667,2023-06-08 21:40:48,52,1.52190635,0,0
2023-06-29 00:00:00,23:40:24,350.934967,234.37257,234.3725749,84,2023-06-08 21:40:48,53,1.497338019,0,0
